Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
298.3,308.9,1390,49.7,23
301.7,309.8,1398,46.0,109
300.9,310.4,1454,43.1,43
304.1,313.4,1518,42.4,105
299.0,308.9,1526,41.1,20
300.6,310.6,1514,39.5,87
300.8,309.7,1680,28.2,189
299.9,309.2,1389,51.2,185
299.4,308.7,1681,30.8,171
299.1,308.3,1451,42.8,21
298.4,308.6,1433,47.1,101
298.4,309.4,1540,43.2,141
301.3,309.9,1565,36.0,213
297.3,308.0,1527,35.1,165
301.9,310.6,1260,65.9,29
300.2,309.2,1431,51.3,57
303.5,312.7,1420,49.1,42
298.7,309.8,1402,54.3,128
298.9,310.0,1515,42.9,170
303.2,311.5,1544,42.5,227
298.3,308.1,1505,46.1,80
296.9,307.8,1828,24.6,91
299.7,309.3,1574,35.8,6
298.2,308.8,1354,60.9,32
300.0,311.4,1604,38.7,185
299.7,309.3,1399,41.9,221
301.9,310.5,1590,40.3,130
301.9,310.9,1421,46.2,26
298.5,309.4,1417,41.2,155
304.0,312.9,1313,53.9,202
303.8,312.6,1811,24.9,183
301.1,311.1,1618,29.5,160
300.2,310.3,1408,42.5,0
301.3,311.0,1856,21.9,189
301.4,310.7,1584,32.2,17
299.6,309.2,1572,33.4,20
299.5,309.3,1523,41.5,181
300.6,312.0,1490,42.2,3
302.5,310.3,1447,39.2,172
298.5,309.6,1579,33.5,91
300.8,310.5,1696,29.7,162
300.6,309.8,1455,48.0,125
299.2,308.6,1582,38.8,156
297.1,308.2,1402,51.2,186
299.1,308.9,1445,43.4,197
298.8,308.7,1445,48.5,70
300.8,310.9,1311,55.8,118
297.9,308.6,1757,27.5,118
303.4,311.5,1414,44.8,71
302.5,312.2,1775,27.9,56
302.6,311.0,1610,39.2,152
298.8,308.5,1577,33.2,0
302.7,311.7,1784,25.1,177
299.7,311.1,1353,47.1,143
301.6,310.1,1694,26.3,14
298.0,308.7,1506,47.0,208
300.5,309.4,1655,32.1,37
297.3,308.6,1431,53.0,160
303.9,313.0,1620,36.6,80
298.8,308.7,1498,39.5,89
301.6,310.7,1424,50.5,214
300.1,311.5,1334,54.0,26
297.8,309.0,1456,41.2,0
300.7,312.0,1401,51.1,50
297.9,307.9,1406,58.5,93
300.4,311.7,1444,51.2,174
304.2,313.3,1464,45.9,48
300.4,311.5,1750,27.3,116
297.5,308.6,1208,62.3,28
300.6,310.9,1344,46.7,133
298.9,309.9,1590,31.3,98
299.0,310.1,1505,41.3,85
299.0,310.3,1584,34.4,83
302.0,311.2,1400,49.5,20
301.2,309.9,1456,50.8,15
297.2,308.5,1471,41.7,41
304.2,313.4,1639,32.7,63
296.3,307.3,1439,41.5,208
298.3,308.0,1463,42.5,190
297.6,307.1,1471,44.9,14
300.0,310.5,1790,25.7,123
297.2,308.3,1776,28.0,43
297.4,308.7,1545,36.9,125
298.4,308.7,1588,35.0,99
298.3,309.1,1616,31.1,195
296.3,307.3,1398,52.7,31
302.3,310.1,1563,37.8,31
301.5,310.7,1359,47.1,115
304.0,313.0,1397,42.4,113
298.2,309.0,1651,31.5,197
298.9,310.3,1583,32.6,230
298.0,308.8,1757,29.1,71
299.2,308.8,1542,39.2,179
302.4,311.2,1450,47.9,154
298.4,310.2,1725,32.0,80
303.6,311.8,1695,30.7,90
300.8,311.9,1356,44.3,214
298.2,308.4,1512,34.9,181
297.5,308.3,1388,48.6,27
297.9,307.6,1503,40.7,124
298.6,309.6,1593,33.3,95
300.2,311.6,1606,31.0,199
298.9,308.4,1301,51.1,138
301.3,310.6,1521,36.3,166
303.7,311.9,1561,33.3,153
301.4,311.1,1462,37.1,41
302.7,311.1,1440,39.5,146
302.2,310.6,1386,50.0,132
301.7,311.0,1715,24.8,17
301.6,310.4,1452,45.7,164
300.4,310.5,1402,54.3,44
300.7,309.3,1425,45.3,100
301.6,310.6,1555,40.4,139
302.4,310.2,1633,28.0,164
298.9,310.6,1615,33.0,221
297.6,308.6,1415,47.3,169
299.0,310.3,1520,45.0,171
302.1,310.1,1447,46.6,169
298.0,307.7,1479,42.5,47
299.6,311.0,1430,38.3,124
299.9,309.2,1333,50.8,61
299.0,308.7,1620,35.4,199
303.6,311.8,1421,44.8,101
301.9,311.4,1465,39.9,153
301.4,310.5,1495,52.5,201
301.5,310.9,1469,44.7,164
299.3,310.6,1443,45.7,97
302.9,312.3,1754,26.9,209
300.7,310.6,1540,52.7,85
302.2,311.4,1625,35.4,70
301.4,311.2,1727,26.5,43
303.5,312.8,1877,22.3,96
295.5,306.2,1448,48.9,65
300.8,309.7,1258,54.9,168
299.4,309.3,1485,47.1,209
303.8,313.1,1256,58.7,213
300.7,310.2,1807,24.2,77
299.1,308.9,1325,48.4,220
300.2,311.6,1500,39.0,174
298.9,310.1,1313,56.8,171
299.3,310.4,1393,44.9,162
303.0,311.0,1409,41.7,120
303.9,313.2,1630,29.3,104
301.5,310.6,1512,39.0,143
300.3,310.3,1362,60.3,206
301.5,310.5,1453,48.0,124
299.6,310.9,1679,31.2,120
300.8,312.2,1664,25.7,150
304.0,313.3,1530,34.8,211
297.1,308.1,1584,36.8,215
299.7,309.4,1650,29.8,93
297.4,308.3,1550,47.8,18
298.3,309.0,1657,32.2,179
300.7,311.7,1499,38.4,205
301.7,310.8,1559,44.5,135
299.6,310.2,1588,34.1,38
302.3,311.0,1591,32.7,171
298.3,309.1,1472,40.1,31
300.9,310.0,1416,46.6,201
301.4,310.7,1673,27.8,181
298.5,308.0,1461,51.9,157
297.8,309.0,1403,64.2,0
302.2,311.7,1471,45.6,140
300.7,309.6,1505,34.9,7
301.8,310.7,1441,49.3,58
297.2,308.3,1576,35.3,113
303.4,311.7,1793,25.8,161
298.3,309.9,1507,41.6,112
297.6,308.6,1482,38.3,39
303.2,311.2,1475,43.1,20
300.5,309.6,1366,50.2,219
301.7,309.9,1524,46.6,104
298.1,308.0,1543,41.9,73
297.4,309.0,1833,22.6,161
300.2,309.4,1752,27.8,208
299.8,309.7,1368,47.4,148
298.1,308.8,1811,25.4,147
300.8,310.7,1386,42.1,170
298.3,308.1,1672,41.3,0
302.6,312.1,1499,35.0,215
299.0,310.4,1625,37.1,131
299.2,308.6,1586,35.7,138
302.6,312.1,1473,37.3,184
304.1,313.6,1611,31.4,144
302.4,311.0,1464,44.2,106
301.1,310.5,1529,38.7,91
300.5,309.7,1616,34.5,155
300.7,309.7,1507,52.4,163
303.3,311.2,1763,27.3,27
303.0,312.8,1648,32.1,104
302.7,310.6,1349,51.2,6
300.3,310.6,1806,24.4,88
298.2,307.8,1429,46.9,117
299.5,308.6,1672,30.5,177
302.6,310.2,1873,21.3,87
302.3,311.3,1457,44.5,83
298.7,309.9,1593,42.5,146
302.7,312.3,1858,25.4,2
298.1,307.7,1498,38.3,81
299.2,308.5,1742,28.9,150
299.8,309.8,1427,45.2,106
301.9,310.9,1379,54.8,99
301.6,310.1,1687,26.6,16
300.2,309.6,1430,52.7,47
300.2,310.2,1530,48.5,15
298.1,309.9,1686,29.1,60
298.8,309.7,1448,44.8,31
304.1,313.2,1410,42.4,155
298.8,308.7,1446,45.5,49
298.8,309.9,1428,42.4,132
301.9,311.1,1417,52.5,171
298.1,307.8,1608,32.6,57
297.7,307.5,1379,43.3,111
299.9,311.4,1627,36.7,118
298.9,308.5,1534,42.9,121
297.4,308.4,1573,34.5,205
297.6,308.7,1319,50.9,141
301.0,312.2,1776,28.8,138
297.4,308.6,1657,33.1,156
300.0,309.6,1694,28.7,94
301.0,310.8,1549,41.4,121
299.2,308.4,1667,29.0,199
301.7,311.3,1708,30.5,77
295.7,306.2,1464,46.2,92
298.1,307.8,1503,44.7,54
297.1,308.5,1578,35.6,46
299.1,310.3,1411,42.1,74
295.4,305.8,1407,50.7,192
297.4,308.7,1726,26.8,158
299.2,310.3,1507,41.3,158
301.3,310.5,1481,39.7,85
298.7,309.9,1404,47.1,64
298.2,307.8,1566,33.8,100
298.3,310.0,1442,43.9,110
303.6,312.8,1400,43.2,23
299.1,308.6,1611,31.4,161
298.3,308.4,1444,47.5,178
300.3,311.9,1429,41.6,184
299.1,308.6,1408,46.7,196
297.4,308.6,1532,38.7,136
298.4,308.6,1569,34.4,160
299.2,310.0,1349,50.4,226
298.2,309.0,1446,45.8,80
299.0,310.0,1387,45.2,110
300.7,311.1,1608,35.3,167
298.6,308.4,1310,59.7,40
302.5,312.0,1642,29.1,46
300.1,309.2,1687,27.7,95
297.4,309.0,1520,37.0,147
303.9,313.0,1403,48.3,10
302.3,311.5,1316,47.2,4
297.4,308.7,1429,37.6,118
299.8,311.2,1745,26.3,150
299.7,310.4,1614,36.2,108
301.0,310.7,1657,29.9,148
302.4,310.1,1358,54.6,61
300.2,310.5,1416,46.7,90
300.7,312.3,1420,53.8,67
301.6,310.1,1362,55.8,70
302.2,311.0,1436,47.0,187
298.0,309.1,1822,23.5,122
299.8,309.4,1408,45.6,156
300.2,309.5,1356,51.1,133
300.2,311.7,1286,55.1,42
301.0,312.2,1264,59.0,57
299.9,310.4,1328,49.9,206
300.9,310.8,1519,34.9,73
298.1,307.4,1363,60.1,187
300.8,309.4,1474,40.7,104
302.0,311.0,1632,34.2,18
302.1,310.9,1658,30.3,186
298.2,307.8,1749,26.1,66
302.1,311.4,1686,30.9,106
300.0,310.2,1760,26.9,193
301.7,309.9,1434,47.9,189
298.6,309.1,1339,51.1,34
296.8,307.6,1304,48.7,142
301.4,310.8,1543,36.9,97
298.9,308.6,1574,33.5,128
298.6,308.9,1327,58.8,9
298.1,309.4,1362,47.6,70
298.2,309.0,1360,56.8,107
297.4,308.5,1469,45.1,63
298.3,308.4,1329,49.2,166
300.2,311.7,1640,30.8,191
298.9,308.6,1771,24.1,213
300.5,311.3,1468,41.1,34
302.8,312.3,1764,29.9,162
298.6,309.5,1584,31.8,27
299.0,308.6,1587,38.6,124
298.3,307.8,1392,50.4,101
302.8,311.1,1550,32.3,76
297.9,308.5,1472,45.1,70
300.0,309.9,1507,41.4,74
298.5,309.9,1482,42.1,15
299.0,309.9,1630,34.0,92
300.7,311.9,1462,39.7,181
303.7,312.6,1702,29.1,141
299.2,308.4,1841,22.8,40
300.8,311.2,1365,51.7,111
298.2,308.0,1591,33.7,32
299.8,309.7,1457,51.9,89
298.0,307.9,1750,26.6,67
298.9,310.1,1491,45.3,133
301.9,310.4,1518,34.1,155
300.6,310.1,1656,32.7,44
300.6,311.7,1553,39.8,0
299.2,310.6,1498,41.1,88
301.3,311.0,1495,40.8,148
298.9,310.0,1520,35.6,48
301.3,311.0,1576,30.4,151
298.3,308.4,1539,43.4,69
295.9,306.7,1547,40.9,107
300.1,309.3,1520,38.2,158
299.0,310.1,1699,32.9,87
300.4,311.7,1513,40.0,51
302.2,311.8,1618,36.0,158
297.3,308.3,1459,59.6,207
301.1,310.2,1657,34.1,52
300.3,311.8,1746,26.3,187
297.9,308.8,1469,49.0,51
300.8,310.8,1460,53.8,41
299.7,310.5,1492,39.3,131
303.3,311.8,1536,40.6,205
299.6,311.0,1552,33.2,139
302.1,310.9,1452,42.5,198
303.7,312.5,1481,33.3,182
304.0,313.0,1685,28.2,66
296.9,307.9,1435,41.6,139
298.9,310.0,1559,33.4,58
299.7,310.2,1440,42.8,30
299.7,309.2,1478,38.8,199
300.5,309.7,1347,54.3,136
302.4,310.1,1418,52.3,141
299.8,310.2,1411,49.7,161
301.4,310.4,1610,38.6,16
302.3,311.8,1433,50.3,183
299.0,310.2,1432,42.2,87
298.9,310.1,1495,42.9,175
301.9,311.0,1871,26.0,132
300.6,310.2,1447,45.9,17
296.9,308.0,1416,46.9,105
300.7,311.8,1407,42.4,224
303.6,312.3,1630,32.4,223
297.4,308.2,1359,46.9,199
303.3,311.4,1692,27.9,55
298.0,308.6,1376,55.7,214
300.5,310.5,1373,47.4,56
301.7,310.0,1391,50.6,195
300.2,309.8,1401,49.3,163
300.4,312.0,1596,30.4,191
300.0,310.4,1333,49.1,131
297.6,308.6,1522,37.0,106
299.1,308.9,1680,27.2,110
299.4,308.6,1542,41.8,166
300.5,311.5,1490,38.4,67
302.2,311.1,1728,34.0,179
298.4,308.3,1422,42.7,186
298.0,307.7,1621,34.9,194
298.7,309.6,1516,38.5,61
302.3,310.2,1506,33.8,43
298.9,308.5,1555,37.6,142
298.8,309.8,1490,35.9,171
301.8,311.2,1840,26.6,202
299.4,308.9,1440,42.5,87
299.9,309.6,1462,51.0,119
301.0,310.9,1679,29.8,64
301.7,310.2,1620,30.8,42
301.3,311.0,1402,47.5,197
298.4,307.8,1617,31.6,173
302.2,311.5,1346,52.4,157
297.5,308.6,1327,52.1,24
300.1,311.3,1305,64.7,66
304.2,313.4,1434,42.5,175
297.9,307.7,1546,37.6,72
295.9,306.6,1414,50.2,51
301.7,310.2,1471,51.1,8
304.4,313.6,1569,38.4,11
299.9,310.3,1268,53.3,146
302.8,312.3,1483,47.2,223
299.8,309.5,1739,27.5,128
299.1,308.7,1498,38.9,181
297.5,308.8,1587,34.9,166
296.1,306.9,1541,32.6,33
300.1,308.9,1548,38.4,31
303.8,312.7,1488,41.3,175
301.8,311.3,1471,44.2,148
303.4,312.3,1479,42.8,92
302.2,310.4,1743,28.1,170
302.7,312.1,1603,32.5,148
299.1,310.5,1628,35.9,174
300.4,309.3,1766,28.2,207
300.4,309.7,1692,27.4,115
302.2,311.1,1640,32.8,77
297.4,308.4,1434,39.9,2
304.3,313.5,1464,36.7,194
299.2,308.8,1440,39.1,188
297.0,308.1,1355,43.7,217
297.5,308.5,1557,39.1,47
298.1,307.8,1565,35.3,119
301.7,309.9,1457,39.2,192
297.5,308.2,1327,56.5,189
300.4,309.9,1435,54.8,70
300.6,312.3,1532,37.2,54
297.5,308.0,1429,45.8,148
299.7,311.0,1506,42.7,85
296.5,307.6,1431,45.2,90
301.0,310.8,1375,57.2,20
298.8,309.9,1525,39.7,77
300.5,311.6,1661,30.0,158
295.8,306.5,1493,40.5,90
302.3,311.7,1494,37.1,114
301.4,310.6,1855,25.3,178
300.3,309.2,1650,35.2,196
297.9,309.0,1382,43.9,116
303.9,313.2,1570,40.7,74
300.3,311.3,1332,60.5,112
303.0,312.4,1627,37.1,168
302.5,310.2,1454,43.0,108
300.2,311.8,1464,44.5,179
303.7,312.3,1384,45.9,121
299.3,310.9,1669,32.4,5
301.1,310.2,1850,27.7,44
299.2,308.4,1476,32.7,101
302.0,311.0,1865,22.7,48
298.1,308.7,1315,56.8,59
300.4,309.3,1413,50.3,101
300.6,310.6,1427,52.8,75
301.8,311.5,1416,49.0,136
295.8,306.4,1325,56.2,65
303.9,313.1,1473,42.8,97
302.8,312.3,1473,42.6,232
300.7,311.3,1348,53.0,35
297.4,308.3,1405,51.7,108
302.1,311.2,1422,50.3,146
302.1,311.2,1550,34.8,177
299.0,308.2,1358,42.7,50
302.3,311.8,1804,25.0,43
298.3,308.0,1363,50.1,96
296.8,307.8,1373,42.9,74
298.6,308.4,1559,36.6,188
300.9,312.0,1500,44.2,188
297.9,308.0,1296,62.9,41
298.3,309.0,1471,48.3,91
298.0,307.6,1548,45.8,111
295.7,306.2,1458,49.8,151
302.4,311.1,1634,34.2,184
299.9,311.4,1497,37.0,162
302.4,310.1,1645,31.6,93
299.1,310.1,1894,24.2,22
297.2,308.5,1604,34.9,200
302.3,311.7,1486,39.6,147
299.7,309.6,1540,34.4,91
303.8,312.8,1428,53.3,152
302.0,309.9,1606,34.5,156
300.1,309.3,1841,23.0,125
300.1,309.2,1421,42.5,61
303.4,312.7,1363,45.5,26
297.5,308.8,1477,39.0,127
302.4,311.0,1490,37.1,168
298.2,309.0,1441,44.2,147
298.6,310.1,1533,33.9,24
303.9,313.1,1483,47.2,71
298.3,308.8,1454,49.0,166
297.9,309.1,1558,39.2,59
297.3,308.3,1494,38.2,14
299.0,310.4,1371,53.8,228
301.1,311.2,1407,53.0,165
300.5,311.8,1331,55.3,167
300.2,309.7,1483,43.8,108
297.5,308.9,1280,48.5,19
301.4,311.0,1234,55.8,152
297.4,308.1,1435,45.7,110
301.8,311.1,1463,50.1,149
300.6,310.1,1485,49.9,19
300.7,310.2,1642,32.6,26
299.0,309.7,1418,44.7,209
302.3,311.4,1479,45.6,59
300.2,309.5,1729,28.4,131
300.7,310.8,1519,43.9,55
302.0,311.2,1420,45.8,192
300.9,311.3,1613,32.7,170
296.9,307.8,1544,37.6,109
302.3,311.7,1414,47.0,11
300.5,309.8,1555,38.9,166
303.4,311.9,1402,50.0,54
302.2,311.2,1377,43.0,91
297.8,307.4,1418,41.2,155
298.2,308.4,1510,39.9,134
303.8,312.8,1420,47.9,200
298.6,309.8,1430,43.1,80
297.4,308.5,1782,25.9,54
300.6,310.6,1448,44.7,55
297.3,308.5,1664,28.9,174
303.2,311.4,1610,35.5,63
298.8,309.2,1372,48.5,120
299.1,310.6,1818,24.1,173
298.7,309.6,1424,50.4,32
299.2,308.9,1447,39.6,22
300.7,310.1,1483,40.2,162
300.9,311.1,1546,37.7,133
298.1,307.7,1633,30.7,145
302.9,312.4,1659,33.1,152
301.5,311.0,1504,42.6,109
299.6,310.2,1473,42.7,81
298.8,309.8,1493,38.5,132
298.3,308.9,1348,55.5,102
299.7,309.2,1608,34.4,68
302.0,310.5,1459,43.2,148
301.9,311.2,1369,49.8,66
298.8,309.8,1490,38.6,127
300.6,311.0,1543,34.7,89
304.0,313.3,1519,36.7,117
300.5,311.6,1476,41.7,97
300.3,311.7,1579,33.6,59
302.3,311.1,1589,29.9,141
302.0,310.8,1445,46.3,17
298.6,309.0,1456,47.7,0
297.2,308.4,1378,41.9,97
300.6,309.8,1532,42.5,130
296.9,307.8,1392,43.9,0
300.0,311.4,1484,37.0,183
300.3,311.5,1634,31.9,36
303.6,313.0,1396,38.2,117
297.9,307.7,1364,46.8,89
299.7,309.2,1616,31.6,175
300.8,309.5,1481,44.5,49
299.0,310.2,1682,28.8,49
301.2,310.8,1233,64.6,45
300.0,309.5,1869,22.7,49
300.2,310.1,1523,42.3,25
300.7,311.1,1427,50.3,137
301.4,310.4,1436,49.7,108
300.1,310.1,1501,39.3,195
300.8,311.3,1462,41.4,75
300.5,311.7,1409,54.7,104
299.2,308.9,1430,39.1,117
299.2,309.0,1408,47.2,0
300.8,311.7,1578,31.4,219
299.9,309.5,1547,38.5,148
297.3,308.8,1499,44.2,134
301.2,310.4,1516,44.4,53
300.7,310.0,1395,48.0,85
302.2,311.5,1863,25.7,85
298.1,308.7,1556,31.6,145
297.4,308.3,1335,57.9,113
296.3,307.4,1760,28.4,56
302.1,310.5,1696,30.9,107
301.9,310.7,1480,47.1,68
303.3,311.8,1842,24.5,67
299.3,308.6,1384,53.6,218
298.2,307.9,1544,31.4,192
297.3,307.9,1628,30.2,80
300.4,310.5,1818,25.1,14
302.2,311.5,1489,38.3,35
301.0,310.9,1554,32.7,59
298.0,308.0,1620,29.4,75
300.6,310.0,1478,36.3,95
303.6,312.4,1418,46.0,128
302.4,311.8,1255,59.0,138
299.8,309.2,1372,58.2,65
298.0,307.6,1459,44.4,163
300.5,311.8,1368,57.9,191
301.0,311.9,1454,41.9,33
299.7,310.8,1418,46.6,197
300.0,309.1,1631,28.3,110
303.9,313.0,1475,41.0,11
301.0,312.3,1445,36.4,105
302.0,310.6,1539,37.4,96
300.3,311.4,1759,24.8,34
302.2,311.6,1462,50.0,51
301.9,310.9,1641,33.2,3
298.6,309.4,1375,55.4,145
301.3,311.0,1542,35.1,204
301.3,310.9,1512,36.9,159
299.6,309.0,1472,48.8,72
301.2,310.7,1551,41.2,82
301.3,310.4,1501,39.8,187
299.8,311.1,1763,25.5,171
301.4,310.6,1550,36.8,159
298.8,310.2,1504,41.0,51
300.4,311.2,1366,56.1,177
303.9,313.1,1310,62.9,130
297.6,308.7,1659,32.1,49
297.4,308.4,1340,52.6,15
301.0,309.6,1724,28.1,133
297.7,309.6,1596,35.2,173
300.7,310.8,1653,31.6,111
297.1,308.1,1823,24.3,219
298.6,310.0,1512,37.5,27
298.2,308.0,1535,38.0,179
302.2,311.4,1538,37.4,37
297.4,308.2,1401,51.9,117
302.5,310.9,1624,34.4,146
297.5,309.2,1804,27.4,215
303.0,312.5,1507,37.9,163
301.4,310.0,1689,32.1,207
297.3,308.2,1754,29.4,123
300.8,309.6,1404,38.7,44
302.0,309.8,1649,31.0,152
299.1,309.8,1398,55.4,217
301.2,310.8,1461,40.6,47
298.5,309.0,1450,40.5,199
303.9,313.0,1551,36.8,140
295.5,306.1,1488,40.7,31
298.3,307.9,1551,33.8,72
299.4,310.4,1582,31.7,181
300.3,309.5,1474,38.7,35
302.6,312.2,1695,27.1,32
300.6,311.7,1556,34.9,76
298.5,309.6,1502,39.4,84
299.8,310.3,1687,30.4,33
300.0,309.8,1474,40.6,78
299.6,309.2,1713,26.5,167
301.7,310.9,1405,46.4,207
302.1,311.3,1477,43.6,196
303.4,312.8,1518,38.7,103
298.9,308.5,1429,55.1,140
301.6,310.9,1385,51.2,132
298.8,310.2,1814,26.8,204
297.6,309.3,1610,35.0,6
302.3,311.7,1453,41.2,147
298.4,309.7,1457,44.2,175
301.4,311.0,1533,45.8,125
301.8,309.6,1432,43.7,138
300.5,309.3,1465,46.0,89
299.0,309.0,1436,43.9,20
301.8,310.6,1522,43.8,70
302.0,310.4,1357,58.0,108
302.5,310.4,1487,40.2,48
302.8,310.9,1636,35.0,38
300.4,309.8,1517,40.3,149
303.0,312.4,1645,29.6,129
299.8,309.2,1439,36.1,203
304.3,313.5,1525,42.0,2
300.0,309.5,1425,40.8,178
301.3,310.6,1499,36.1,163
302.6,310.5,1450,43.2,68
299.3,308.6,1448,52.1,71
298.9,308.6,1539,45.4,4
300.3,310.6,1433,53.8,86
299.9,309.2,1539,43.2,132
303.6,312.8,1701,30.8,12
301.4,310.7,1568,35.2,23
299.1,308.2,1493,34.9,119
300.3,311.7,1365,53.3,113
300.5,311.4,1400,45.1,29
297.4,308.9,1376,39.0,181
297.3,308.7,1549,36.1,218
302.1,311.4,1889,22.7,194
300.3,311.3,1525,40.7,105
302.3,311.4,1476,37.3,20
298.6,308.4,1562,34.4,25
301.6,310.5,1809,25.5,40
299.8,309.2,1591,37.5,109
303.0,312.7,1551,41.8,111
300.4,309.7,1547,38.0,181
301.8,310.3,1482,41.4,63
301.5,310.4,1270,54.2,26
299.6,310.9,1533,31.8,91
297.2,308.3,1578,37.8,3
299.9,309.4,1509,42.8,190
300.5,310.8,1728,26.3,125
300.7,312.3,1418,49.0,69
298.7,308.4,1560,33.3,53
297.4,308.6,1276,53.6,103
299.7,309.2,1355,44.8,127
297.3,308.4,1434,44.8,21
297.6,308.9,1479,38.1,182
300.1,310.2,1429,42.0,206
304.0,312.8,1542,42.7,198
299.4,308.7,1459,47.6,96
298.5,309.6,1509,47.3,2
301.0,310.4,1512,44.9,86
298.8,309.9,1320,47.4,210
302.9,312.2,1510,41.4,94
300.0,309.2,1759,27.9,5
298.7,309.8,1435,48.8,71
299.5,309.3,1506,41.5,77
302.0,310.6,1583,35.2,171
302.5,310.4,1451,53.6,194
297.2,307.9,1580,35.8,140
297.4,308.5,1501,44.9,20
302.0,310.6,1361,46.7,182
297.9,308.1,1585,33.5,212
299.2,308.4,1620,34.1,89
298.7,310.2,1402,45.9,30
299.6,310.8,1393,49.9,78
299.8,309.7,1320,61.7,134
302.0,310.4,1595,32.9,135
301.2,310.7,1517,39.4,107
296.3,307.1,1534,33.8,151
298.3,308.6,1570,34.8,175
298.1,308.0,1426,46.0,61
297.7,309.0,1874,24.4,28
300.4,311.8,1320,57.9,168
297.6,309.1,1394,50.0,62
300.3,311.1,1480,46.6,185
300.0,309.1,1474,45.2,152
300.5,312.0,1375,43.2,108
300.6,310.0,1302,62.9,87
296.8,307.5,1474,42.4,107
303.1,311.1,1594,35.5,13
297.3,308.1,1709,30.6,196
300.2,309.4,1501,40.0,48
300.7,311.0,1336,53.3,68
298.0,308.8,1581,36.1,73
299.8,310.5,1496,38.8,215
300.5,309.9,1552,41.3,116
298.8,309.7,1459,47.3,141
300.0,311.4,1537,35.4,120
302.3,311.8,1475,42.8,38
299.1,308.3,1489,38.1,32
300.1,311.5,1434,40.8,80
304.4,313.6,1568,39.1,0
297.4,308.5,1418,51.2,52
301.0,311.5,1444,39.8,197
301.0,309.7,1491,42.9,165
300.2,311.4,1568,41.0,32
297.3,308.5,1520,42.4,171
298.1,307.9,1502,41.8,79
303.7,312.7,1316,51.8,197
299.9,310.3,1535,43.9,154
299.7,310.3,1661,34.5,6
298.7,309.9,1621,34.1,130
302.0,310.9,1495,38.6,52
300.7,310.6,1407,42.4,218
297.3,308.5,1384,39.6,144
295.5,305.9,1518,44.1,194
298.3,308.4,1408,43.1,177
298.6,309.4,1667,35.6,185
300.5,310.4,1702,33.1,71
301.2,310.7,1543,32.9,40
302.4,311.4,1675,29.6,128
300.3,311.6,1560,37.7,107
299.1,308.6,1555,36.6,104
301.3,310.6,1527,44.0,114
299.5,309.3,1477,40.4,138
299.0,310.0,1672,33.2,144
304.2,313.4,1490,44.0,41
298.8,309.7,1374,58.6,123
299.0,310.1,1531,36.0,57
301.5,310.8,1785,25.5,120
303.5,311.6,1361,46.5,62
300.3,311.7,1551,36.4,84
297.3,308.1,1568,34.4,194
300.5,310.2,1571,34.6,228
300.0,310.5,1606,33.5,135
303.6,311.7,1476,40.1,85
298.3,309.1,1296,58.7,201
299.2,308.4,1434,46.8,2
300.3,311.6,1304,62.8,118
298.3,307.8,1457,52.5,98
298.8,308.4,1369,53.0,138
297.8,309.7,1547,37.3,25
299.0,310.1,1580,41.9,55
297.8,307.9,1600,33.5,13
296.9,308.0,1430,55.9,71
301.9,310.9,1542,36.7,101
301.2,309.9,1449,45.5,23
301.9,311.0,1336,63.6,111
297.8,309.0,1340,56.9,6
297.4,308.3,1395,48.7,21
302.2,311.1,1628,30.6,105
297.5,308.9,1729,28.1,189
301.8,310.6,1441,46.3,100
300.7,311.1,1478,46.8,165
302.1,311.3,1511,45.0,204
302.3,311.0,1526,37.7,171
298.8,310.0,1389,49.6,149
298.7,309.7,1462,46.8,4
300.9,310.7,1509,37.5,12
300.1,309.0,1314,58.2,114
297.2,308.0,1478,42.5,56
298.8,309.0,1661,29.5,162
301.9,309.6,1439,41.7,201
300.6,310.7,1397,53.7,80
301.8,310.9,1358,52.3,56
299.2,308.8,1605,31.1,181
300.3,311.7,1646,28.9,198
300.8,310.7,1586,33.4,142
300.7,311.9,1335,57.1,194
298.4,309.2,1414,46.4,128
298.9,308.2,1411,51.3,43
299.6,309.4,1642,30.3,80
296.8,308.1,1356,48.3,201
298.9,308.2,1328,49.2,11
299.7,309.3,1592,34.2,8
299.8,310.8,1530,35.2,163
301.9,309.7,1719,31.9,0
298.9,308.9,1830,24.9,35
298.3,309.1,1387,52.3,160
299.7,310.3,1462,40.4,19
301.1,310.8,1608,32.9,119
301.2,310.7,1656,26.2,64
298.1,308.7,1568,32.9,10
297.2,307.9,1530,35.9,197
298.9,310.3,1551,35.2,50
299.8,311.1,1452,44.3,167
299.1,308.3,1325,46.9,28
300.7,310.9,1369,51.2,63
303.8,313.0,1427,43.0,0
300.4,311.7,1459,45.6,3
299.8,309.3,1386,49.4,116
300.2,311.5,1492,41.8,128
297.9,309.1,1435,44.7,8
302.2,311.2,1381,49.4,207
300.6,310.7,1705,31.2,181
301.7,310.2,1435,48.1,12
299.3,309.1,1551,39.1,147
301.3,311.3,1474,50.7,10
301.3,310.7,1391,52.5,61
297.3,308.2,1396,52.7,212
302.2,310.9,1522,35.9,61
302.6,312.2,1377,45.5,54
304.2,313.5,1684,29.8,156
303.8,313.1,1523,39.8,150
301.7,310.6,1691,27.7,105
298.6,309.8,1469,42.8,205
297.5,309.1,1515,35.1,213
